run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
patchmatrix__canonical_patch_artifact__largest_person_torso__bit_depth,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__largest_person_torso__bit_depth,yolo,pretrained_patch,bit_depth,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8507328629493713,complete,0.671712499777861,0.5133333333333333,0.5738296441454804,0.4283361192146222
patchmatrix__canonical_patch_artifact__largest_person_torso__blind_patch_recover,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__largest_person_torso__blind_patch_recover,yolo,pretrained_patch,blind_patch_recover,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8570351600646973,complete,0.6429743560929709,0.5716666666666667,0.6093958684220696,0.45044351557144346
patchmatrix__canonical_patch_artifact__largest_person_torso__c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__largest_person_torso__c_dog,yolo,pretrained_patch,c_dog,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8459399938583374,complete,0.8843698480595663,0.4556594979304715,0.5868212714765965,0.42509640276692273
patchmatrix__canonical_patch_artifact__largest_person_torso__jpeg_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__largest_person_torso__jpeg_preprocess,yolo,pretrained_patch,jpeg_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8490427136421204,complete,0.7624136595610207,0.5335814989926482,0.5923991128045593,0.4438215289885008
patchmatrix__canonical_patch_artifact__largest_person_torso__median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__largest_person_torso__median_preprocess,yolo,pretrained_patch,median_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8120814561843872,complete,0.5776903157341008,0.5141196571990758,0.5540611799486187,0.434332289620313
patchmatrix__canonical_patch_artifact__largest_person_torso__none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__largest_person_torso__none,yolo,pretrained_patch,none,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.8524304926395416,complete,0.6488111039900846,0.5178060822387509,0.5872830938136901,0.4311590684684574
patchmatrix__canonical_patch_artifact__largest_person_torso__oracle_patch_recover,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__largest_person_torso__oracle_patch_recover,yolo,pretrained_patch,oracle_patch_recover,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,largest_person_torso,8,2,2,0.857022225856781,complete,0.6461841644224042,0.5797313405479024,0.6267782496280796,0.4471733690886937
patchmatrix__canonical_patch_artifact__off_object_fixed__bit_depth,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__off_object_fixed__bit_depth,yolo,pretrained_patch,bit_depth,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,3,0.8133860031763712,complete,0.5805469890280027,0.629862561576089,0.707305736944077,0.5068942444493736
patchmatrix__canonical_patch_artifact__off_object_fixed__blind_patch_recover,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__off_object_fixed__blind_patch_recover,yolo,pretrained_patch,blind_patch_recover,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,3,0.8148155212402344,complete,0.5991626293395801,0.6197744730068508,0.697956200222071,0.4959909462060584
patchmatrix__canonical_patch_artifact__off_object_fixed__c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__off_object_fixed__c_dog,yolo,pretrained_patch,c_dog,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,3,0.8249352971712748,complete,0.8537408953890371,0.4636848056441262,0.7013878871204088,0.4966215928174165
patchmatrix__canonical_patch_artifact__off_object_fixed__jpeg_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__off_object_fixed__jpeg_preprocess,yolo,pretrained_patch,jpeg_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,4,0.747455283999443,complete,0.5410439046267617,0.5821178958923172,0.655014150796897,0.49059244883456704
patchmatrix__canonical_patch_artifact__off_object_fixed__median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/patch_matrix/patchmatrix__canonical_patch_artifact__off_object_fixed__median_preprocess,yolo,pretrained_patch,median_preprocess,42,attack_then_defense,,,,,yolo11n_patch_eval_v1,mAP50,canonical,,,,yolo11n_patch_v2,off_object_fixed,8,3,4,0.7607240527868271,complete,0.6262317423855279,0.6258853463961128,0.6693399546299503,0.5057163045494585
